------------------------支付宝（中国）网络技术有限公司  电子客户回单------------------------,,,,,,,,,,,,
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2025-06-22 00:08:11,日用百货,东***上,152******49,华硕TUF小旋风路由器WIFi7，南通本地可自提！,支出,380.00,工商银行储蓄卡(6164),等待确认收货,"2025062222001186441428978733	","T200P2622269676741420489	",,
2025-06-21 01:22:26,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-交通大学-2025-06-20 22:47:58-九亭-2025-06-20 23:22:23,支出,4.00,工商银行储蓄卡(6164),交易成功,"2025062122001486441425726230	","25062101222690400015	",,
2025-06-20 22:26:58,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-九亭-2025-06-20 19:54:05-交通大学-2025-06-20 20:26:55,支出,4.00,工商银行储蓄卡(6164),交易成功,"2025062022001486441425727718	","25062022265890300070	",,
2025-06-20 14:42:06,充值缴费,上海松江燃气有限公司,/,燃气费-*成,支出,300.00,工商银行储蓄卡(6164),交易成功,"2025062000003001440048728306	","210330005339	",,
2025-06-20 14:22:37,文化休闲,淘票**影,dyz***@service.alibaba.com,《地球特派员》AMG海上明珠影城（上海莘庄店）电影票,支出,46.00,工商银行储蓄卡(6164),交易成功,"2025062022001186441422732256	","T150P2619703848886420489	",,
2025-06-19 22:34:17,退款,上海顺途科技有限公司,stk***@trip.com,退款-上海虹桥杭州东,不计收支,69.00,工商银行储蓄卡(6164),退款成功,"2025061722001486441408237531_20250619ALRP001764231811	","20250617ALPP001523674710	",,
2025-06-19 22:33:47,退款,上海顺途科技有限公司,stk***@trip.com,退款-上海虹桥杭州东,不计收支,69.50,工商银行储蓄卡(6164),退款成功,"2025061722001486441408237531_20250619ALRP001761698504	","20250617ALPP001523674710	",,
2025-06-19 20:12:16,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-陕西南路-2025-06-19 17:29:31-七莘路-2025-06-19 18:12:13,支出,4.00,工商银行储蓄卡(6164),交易成功,"2025061922001486441420769968	","25061920121690300276	",,
2025-06-19 18:14:59,交通出行,早餐店,156******81,收钱码收款,支出,17.00,工商银行储蓄卡(6164),交易成功,"2025061922001486441421946266	","17503280988602321386441	",,
2025-06-19 18:08:16,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-静安寺-2025-06-19 15:56:34-常熟路-2025-06-19 16:08:12,支出,3.00,工商银行储蓄卡(6164),交易成功,"2025061922001486441420791031	","25061918081590300021	",,
2025-06-19 13:49:01,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-九亭-2025-06-19 11:19:00-肇嘉浜路-2025-06-19 11:48:58,支出,4.00,工商银行储蓄卡(6164),交易成功,"2025061922001486441415888517	","25061913490190400027	",,
2025-06-18 19:16:37,日用百货,哇***0,130******12,孩子王kidswant啊贝贝Ai智能陪伴玩具,支出,99.00,账户余额(个人余额),交易成功,"2025061822001186441412790011	","T200P2616447183627420489	",,
2025-06-17 21:57:43,酒店旅游,上海顺途科技有限公司,stk***@trip.com,上海虹桥杭州东,支出,173.00,工商银行储蓄卡(6164),交易成功,"2025061722001486441408237531	","20250617ALPP001523674710	",,
